"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","16.195","16.385","16.625","16.080","-","-0.02%"
"Jul 18, 2019","16.198","16.005","16.385","15.960","149.09K","1.42%"
"Jul 17, 2019","15.971","15.585","16.030","15.555","111.24K","1.87%"
"Jul 16, 2019","15.678","15.415","15.735","15.340","128.87K","2.04%"
"Jul 15, 2019","15.365","15.240","15.430","15.185","67.64K","0.74%"
"Jul 14, 2019","15.252","15.248","15.277","15.227","-","0.11%"
"Jul 12, 2019","15.236","15.135","15.270","15.070","49.16K","0.59%"
"Jul 11, 2019","15.146","15.265","15.345","15.120","60.63K","-0.53%"
"Jul 10, 2019","15.226","15.135","15.315","15.070","73.72K","0.52%"
"Jul 09, 2019","15.147","15.035","15.155","14.965","49.64K","0.64%"
"Jul 08, 2019","15.050","15.050","15.150","14.985","47.62K","0.35%"
"Jul 07, 2019","14.998","15.018","15.055","14.982","-","-0.02%"
"Jul 05, 2019","15.001","15.365","15.370","14.915","109.25K","-2.27%"
"Jul 04, 2019","15.350","15.342","15.370","15.252","-","0.09%"
"Jul 03, 2019","15.336","15.370","15.510","15.240","66.80K","0.64%"
"Jul 02, 2019","15.238","15.160","15.365","15.070","71.31K","0.30%"
"Jul 01, 2019","15.193","15.315","15.345","15.155","70.00K","-0.26%"
"Jun 30, 2019","15.232","15.350","15.350","15.160","-","-0.71%"
"Jun 28, 2019","15.341","15.300","15.385","15.245","57.10K","0.31%"
"Jun 27, 2019","15.294","15.340","15.355","15.205","74.82K","-0.53%"
"Jun 26, 2019","15.375","15.430","15.435","15.240","76.04K","-0.05%"
"Jun 25, 2019","15.383","15.540","15.590","15.340","82.57K","-0.50%"
"Jun 24, 2019","15.461","15.445","15.540","15.370","51.72K","0.38%"
"Jun 23, 2019","15.402","15.330","15.422","15.330","-","0.21%"
"Jun 21, 2019","15.370","15.525","15.625","15.235","43.99K","-1.27%"
"Jun 20, 2019","15.568","15.240","15.590","15.190","56.56K","3.57%"
"Jun 19, 2019","15.032","15.070","15.245","14.980","20.48K","-0.23%"
"Jun 18, 2019","15.067","14.895","15.155","14.875","21.58K","1.11%"
"Jun 17, 2019","14.902","14.910","14.960","14.830","9.80K","0.64%"
"Jun 16, 2019","14.807","14.842","14.863","14.803","-","-0.48%"
"Jun 14, 2019","14.878","14.965","15.190","14.850","14.13K","-0.57%"
"Jun 13, 2019","14.964","14.825","14.995","14.790","16.08K","0.92%"
"Jun 12, 2019","14.827","14.795","14.930","14.790","10.10K","0.08%"
"Jun 11, 2019","14.815","14.765","14.850","14.705","15.42K","0.69%"
"Jun 10, 2019","14.713","15.050","15.075","14.700","13.26K","-1.74%"
"Jun 09, 2019","14.973","15.008","15.008","14.953","-","-0.89%"
"Jun 07, 2019","15.107","14.965","15.225","14.920","14.38K","0.86%"
"Jun 06, 2019","14.978","14.860","15.065","14.800","7.31K","0.78%"
"Jun 05, 2019","14.862","14.905","15.115","14.825","8.64K","0.11%"
"Jun 04, 2019","14.845","14.855","14.915","14.725","7.77K","0.18%"
"Jun 03, 2019","14.819","14.660","14.905","14.640","9.13K","1.49%"
"Jun 02, 2019","14.602","14.555","14.602","14.555","-","-0.30%"
"May 31, 2019","14.646","14.575","14.750","14.540","6.47K","0.53%"
"May 30, 2019","14.569","14.475","14.630","14.420","3.70K","0.56%"
"May 29, 2019","14.488","14.415","14.525","14.410","5.41K","0.60%"
"May 28, 2019","14.401","14.630","14.690","14.350","3.30K","-1.17%"
"May 27, 2019","14.572","14.553","14.607","14.537","-","0.10%"
"May 26, 2019","14.557","14.545","14.562","14.545","-","-0.54%"
"May 24, 2019","14.636","14.655","14.665","14.600","1.71K","-0.38%"
"May 23, 2019","14.692","14.505","14.710","14.480","2.62K","1.14%"
"May 22, 2019","14.527","14.500","14.555","14.455","1.78K","0.28%"
"May 21, 2019","14.487","14.515","14.525","14.430","1.33K","-0.25%"
"May 20, 2019","14.523","14.465","14.535","14.445","0.82K","0.66%"
"May 19, 2019","14.428","14.390","14.428","14.390","-","-0.26%"
"May 17, 2019","14.466","14.595","14.615","14.465","1.81K","-1.02%"
"May 16, 2019","14.615","14.860","14.895","14.595","1.87K","-1.84%"
"May 15, 2019","14.889","14.885","14.930","14.850","1.12K","-0.02%"
"May 14, 2019","14.892","14.870","14.935","14.825","2.22K","0.24%"
"May 13, 2019","14.857","14.860","14.890","14.700","2.02K","0.67%"
"May 12, 2019","14.758","14.780","14.793","14.758","-","-0.75%"
"May 10, 2019","14.870","14.835","14.930","14.820","1.87K","0.11%"
"May 09, 2019","14.853","14.940","14.940","14.790","3.52K","-0.61%"
"May 08, 2019","14.944","15.010","15.060","14.925","2.75K","-0.43%"
"May 07, 2019","15.009","15.000","15.020","14.895","2.68K","-0.01%"
"May 06, 2019","15.010","15.045","15.070","14.860","1.17K","0.43%"
"May 05, 2019","14.945","14.953","14.988","14.932","-","-0.78%"
"May 03, 2019","15.062","14.720","15.070","14.690","1.65K","2.47%"
"May 02, 2019","14.699","14.775","14.790","14.660","2.20K","-0.78%"
"May 01, 2019","14.815","15.065","15.065","14.710","0.92K","-1.69%"
"Apr 30, 2019","15.069","15.020","15.110","14.920","1.31K","0.33%"
"Apr 29, 2019","15.019","15.195","15.195","14.995","0.58K","0.05%"
"Apr 28, 2019","15.012","15.035","15.035","15.012","-","-1.07%"
"Apr 26, 2019","15.174","15.075","15.205","15.040","1.16K","0.84%"
"Apr 25, 2019","15.047","15.045","15.130","14.985","2.45K","-0.25%"
"Apr 24, 2019","15.084","14.945","15.125","14.910","1.58K","0.86%"
"Apr 23, 2019","14.955","15.150","15.160","14.880","3.58K","-1.27%"
"Apr 22, 2019","15.147","15.155","15.180","15.130","0.54K","1.10%"
"Apr 21, 2019","14.982","14.955","14.988","14.955","-","0.11%"
"Apr 19, 2019","14.965","14.965","14.965","14.965","-","-1.07%"
"Apr 18, 2019","15.127","15.090","15.145","15.080","0.81K","0.13%"
"Apr 17, 2019","15.107","15.160","15.205","15.055","1.65K","0.12%"
"Apr 16, 2019","15.089","15.145","15.145","15.010","0.75K","-0.43%"
"Apr 15, 2019","15.154","15.095","15.170","14.980","0.78K","1.58%"
"Apr 14, 2019","14.918","14.928","14.950","14.912","-","-1.50%"
"Apr 12, 2019","15.145","15.100","15.245","15.100","0.87K","0.63%"
"Apr 11, 2019","15.050","15.385","15.385","15.030","2.51K","-2.46%"
"Apr 10, 2019","15.430","15.375","15.445","15.315","2.18K","0.21%"
"Apr 09, 2019","15.398","15.400","15.485","15.375","2.26K","-0.03%"
"Apr 08, 2019","15.403","15.285","15.455","15.275","1.65K","2.09%"
"Apr 07, 2019","15.088","15.078","15.107","15.078","-","-1.19%"
"Apr 05, 2019","15.270","15.300","15.360","15.230","1.99K","0.03%"
"Apr 04, 2019","15.266","15.295","15.320","15.065","1.65K","-0.14%"
"Apr 03, 2019","15.287","15.310","15.325","15.190","1.02K","0.27%"
"Apr 02, 2019","15.246","15.235","15.260","15.110","1.57K","-0.27%"
"Apr 01, 2019","15.287","15.295","15.365","15.240","0.84K","1.15%"
"Mar 31, 2019","15.113","15.102","15.133","15.098","-","-1.19%"
"Mar 29, 2019","15.295","15.180","15.345","15.160","0.76K","0.92%"
"Mar 28, 2019","15.155","15.420","15.420","15.135","0.63K","-2.12%"
"Mar 27, 2019","15.483","15.630","15.650","15.455","0.36K","-0.84%"
"Mar 26, 2019","15.614","15.725","15.725","15.590","0.67K","-0.88%"
"Mar 25, 2019","15.752","15.615","15.765","15.580","0.74K","2.23%"
"Mar 24, 2019","15.408","15.438","15.447","15.408","-","-1.17%"
"Mar 22, 2019","15.591","15.620","15.725","15.575","0.48K","-0.21%"
"Mar 21, 2019","15.624","15.690","15.835","15.610","0.47K","0.77%"
"Mar 20, 2019","15.505","15.540","15.690","15.475","0.75K","-0.35%"
"Mar 19, 2019","15.559","15.565","15.620","15.540","0.09K","0.32%"
"Mar 18, 2019","15.510","15.450","15.595","15.450","0.11K","1.59%"
"Mar 17, 2019","15.268","15.287","15.310","15.268","-","-1.57%"
"Mar 15, 2019","15.512","15.400","15.570","15.400","0.40K","1.01%"
"Mar 14, 2019","15.357","15.575","15.575","15.345","1.03K","-1.83%"
"Mar 13, 2019","15.644","15.660","15.730","15.630","0.83K","0.28%"
"Mar 12, 2019","15.601","15.510","15.670","15.505","1.19K","0.90%"
"Mar 11, 2019","15.462","15.530","15.530","15.455","0.76K","0.81%"
"Mar 10, 2019","15.338","15.352","15.352","15.322","-","-1.27%"
"Mar 08, 2019","15.536","15.220","15.560","15.215","0.75K","2.04%"
"Mar 07, 2019","15.226","15.235","15.315","15.180","1.44K","-0.30%"
"Mar 06, 2019","15.272","15.325","15.355","15.250","0.32K","-0.13%"
"Mar 05, 2019","15.292","15.275","15.345","15.265","0.66K","-0.01%"
"Mar 04, 2019","15.293","15.475","15.475","15.280","0.45K","0.88%"
"Mar 03, 2019","15.160","15.300","15.300","15.117","-","-1.84%"
"Mar 01, 2019","15.444","15.750","15.780","15.365","0.57K","-2.41%"
"Feb 28, 2019","15.826","15.960","16.040","15.815","0.41K","-0.83%"
"Feb 27, 2019","15.959","16.090","16.105","15.955","0.66K","-0.97%"
"Feb 26, 2019","16.116","16.125","16.175","16.030","0.42K","-0.01%"
"Feb 25, 2019","16.118","16.225","16.225","16.100","0.54K","1.48%"
"Feb 24, 2019","15.883","15.880","15.893","15.867","-","-1.94%"
"Feb 22, 2019","16.197","16.080","16.215","16.075","0.34K","0.66%"
"Feb 21, 2019","16.091","16.315","16.315","16.070","0.34K","-2.27%"
"Feb 20, 2019","16.464","16.225","16.470","16.225","0.75K","1.29%"
"Feb 19, 2019","16.255","16.055","16.255","16.030","0.90K","2.96%"
"Feb 18, 2019","15.787","15.752","15.828","15.738","-","0.25%"
"Feb 17, 2019","15.748","15.752","15.760","15.742","-","-1.74%"
"Feb 15, 2019","16.027","15.955","16.045","15.845","0.22K","1.38%"
"Feb 14, 2019","15.809","15.860","15.895","15.730","0.36K","-0.78%"
"Feb 13, 2019","15.933","15.980","16.050","15.875","0.77K","-0.26%"
"Feb 12, 2019","15.975","16.055","16.095","15.945","1.46K","-0.03%"
"Feb 11, 2019","15.979","16.080","16.080","15.945","0.29K","1.02%"
"Feb 10, 2019","15.818","15.822","15.822","15.785","-","-1.74%"
"Feb 08, 2019","16.098","16.060","16.130","16.025","0.54K","0.62%"
"Feb 07, 2019","15.999","15.950","16.010","15.930","0.63K","0.09%"
"Feb 06, 2019","15.984","16.035","16.110","15.935","0.16K","-0.84%"
"Feb 05, 2019","16.119","16.120","16.190","16.120","0.27K","-0.30%"
"Feb 04, 2019","16.168","15.985","16.165","15.985","0.60K","1.61%"
"Feb 03, 2019","15.912","15.910","15.932","15.902","-","-1.84%"
"Feb 01, 2019","16.210","16.340","16.340","16.190","0.37K","-0.84%"
"Jan 31, 2019","16.348","16.400","16.470","16.320","0.33K","0.89%"
"Jan 30, 2019","16.204","16.135","16.235","16.135","1.38K","0.54%"
"Jan 29, 2019","16.117","16.020","16.130","16.020","0.22K","0.50%"
"Jan 28, 2019","16.037","15.925","16.035","15.925","0.09K","1.94%"
"Jan 27, 2019","15.732","15.758","15.765","15.732","-","-1.48%"
"Jan 25, 2019","15.969","15.630","15.965","15.630","0.35K","2.58%"
"Jan 24, 2019","15.567","15.635","15.635","15.560","0.18K","-0.51%"
"Jan 23, 2019","15.647","15.690","15.690","15.570","0.07K","0.35%"
"Jan 22, 2019","15.592","15.490","15.620","15.490","0.14K","2.02%"
"Jan 21, 2019","15.283","15.363","15.383","15.207","-","-0.52%"
"Jan 20, 2019","15.363","15.360","15.395","15.357","-","-1.96%"
"Jan 18, 2019","15.670","15.665","15.720","15.660","0.12K","-0.88%"
"Jan 17, 2019","15.809","15.890","15.890","15.785","0.07K","-0.64%"
"Jan 16, 2019","15.911","15.820","15.915","15.820","0.12K","0.12%"
"Jan 15, 2019","15.892","15.890","15.975","15.865","0.46K","-0.44%"
"Jan 14, 2019","15.962","15.900","15.970","15.900","0.23K","2.08%"
"Jan 13, 2019","15.637","15.635","15.652","15.633","-","-1.85%"
"Jan 11, 2019","15.931","15.955","16.035","15.930","0.57K","0.08%"
"Jan 10, 2019","15.918","15.965","15.975","15.905","0.65K","-0.57%"
"Jan 09, 2019","16.009","16.015","16.020","15.990","0.42K","0.13%"
"Jan 08, 2019","15.988","15.925","16.000","15.915","0.49K","-0.21%"
"Jan 07, 2019","16.021","16.115","16.130","16.085","0.14K","1.69%"
"Jan 06, 2019","15.755","15.770","15.805","15.752","-","-1.85%"
"Jan 04, 2019","16.052","16.140","16.140","16.000","0.53K","-0.06%"
"Jan 03, 2019","16.061","15.890","16.060","15.890","0.17K","0.97%"
"Jan 02, 2019","15.907","15.715","15.925","15.710","0.62K","2.47%"
"Jan 01, 2019","15.523","15.560","15.560","15.515","-","-1.73%"